1	Ben M. Baglio
1	Barbara McDonough
1	Barbara B. (B.B.) Hiller
1	Barbara B. (B.B. Hiller)
1	Barbara (B.B.) Hiller, Neil W. Hiller
1	Barbara (B.B.) Hiller
1	Ashley Low
1	Artur Marciniak
1	Arthur Roth
1	Arne Griech, Reiner Kriegler, Marc Zwinz
1	Anthony Lavisher, Jamie Wallis
1	Annie Broadhead, Ginni Light
1	Anne Schraff
1	Anne K. Brown
1	Anne Gray McCready
1	Ann Matthews
1	Ann Hodgman
1	Ann Bailey
1	Andrew Keith
1	Andreu Martín
1	Andrea Packard, Edward Packard
1	Andrea Packard
1	Andrea Mills
1	Andrea Angiolino, Pier Giorgio Paglia
1	Andea Packard
1	Andea Angiolino. 1996
1	Andea Angiolino, Domenico Di Giorgio, Francesca Garello
1	Amanda Kragten, Nicole Mayer, Douglas Neman
1	Alistair Hemming
1	Alice Storey
1	Alice Henderson
1	Alfred Leonardi, Ken St. Andre, Dennis Greci
1	Alfred Leonardi, Jill Leonardi (character design), James Rosinus (development)
1	Alfred Leonardi, Hal McKinney
1	Alfred Leonardi, Douglas Huskins (character design), James Rosinus (development)
1	Alfred Leonardi, Douglas Huskins (character design), Dennis Greci (character design), James Rosinus (development)
1	Alfred Leonardi, Dennis Greci, Lynda Leonardi, Marian McKenzie, James Rosinus, Cynthia Garrison
1	Alfred Leonardi, Dennis Greci, Lynda Leonardi, Marian McKenzie, James Rosinus
1	Alfred Leonardi, Adamo Leoni, Mary Leonardi, Dennis Greci
1	Alexander Scott
1	Alex R. Wermin (Tibor Bihon)
1	Alex Gray
1	Albie Fiore
1	Alberto Savini, Silvana Barbi
1	Adventure Architects
1	Adrian Wayne [Ейдриън Уейн] (Alexander Alexandrov [Александър Александров])
1	Adele Read
1	Aaron Rosenberg
1	Aaron Allston
1	A.C. Montgomery
1	A. Molotkov, S.B. Reda, Pamela Zero
